a_x a_y a_z
135 -1316 -15333
0 0 0
95 -1297 -15414
0 1 14178
224 -1283 -15385
0 0 0
104 -1231 -15334
0 0 14146
250 -1176 -15312
0 0 0
156 -1204 -15475
0 0 14340
187 -1232 -15442
0 0 0
188 -1341 -15422
0 0 0
154 -1217 -15442
0 0 0
152 -1258 -15388
0 0 14373
90 -1327 -15389
0 0 0
155 -1241 -15429
0 0 2738
139 -1283 -15341
0 0 0
164 -1313 -15398
0 0 -7872
101 -1365 -15445
0 0 -2
118 -1295 -15501
0 0 14339
131 -1225 -15404
0 0 0
199 -1292 -15552
0 32 14340
216 -1267 -15304
0 0 0
195 -1289 -15363
0 32 0
163 -1278 -15329
0 0 0
58 -1284 -15369
0 32 14340
122 -1231 -15476
0 0 0
163 -1213 -15388
0 32 2738
226 -1270 -15482
0 0 0
175 -1329 -15517
0 0 -20453
200 -1274 -15365
0 0 0
63 -1299 -15544
0 0 0
142 -1185 -15345
0 0 0
135 -1235 -15310
0 0 0
234 -1300 -15301
0 0 0
193 -1362 -15361
0 0 14373
202 -1267 -15301
0 0 0
107 -1263 -15398
0 0 14340
195 -1276 -15324
0 0 0
173 -1317 -15421
0 0 2738
156 -1295 -15333
0 0 0
187 -1289 -15572
0 14339 2738
143 -1236 -15388
0 0 0
210 -1215 -15398
0 0 2741
235 -1292 -15480
0 0 0
186 -1347 -15333
0 14340 2738
136 -1232 -15072
0 0 0
136 -1265 -15460
0 4 2741
70 -1252 -15437
0 0 0
243 -1219 -15448
0 0 2738
140 -1277 -15531
0 0 0
307 -1289 -15580
0 0 2738
97 -1260 -15393
0 0 0
160 -1203 -15462
0 14340 8
86 -1305 -15308
0 0 24576
82 -1208 -15498
0 0 0
278 -1211 -15520
0 0 0
103 -1220 -15475
0 14369 14340
190 -1305 -15006
0 0 0
162 -1261 -15417
0 0 14373
-5 -1284 -15489
0 0 0
110 -1284 -15395
0 14110 31894
184 -1349 -15464
0 0 0
326 -1341 -15513
0 0 0
109 -1263 -15508
0 0 0
175 -1317 -15524
0 0 0
101 -1229 -15388
0 0 0
154 -1302 -15339
0 0 14369
146 -1358 -15453
0 0 0
239 -1247 -15404
0 0 14340
193 -1263 -15174
0 0 0
162 -1268 -15451
0 2738 0
97 -1268 -15266
0 0 -32762
207 -1258 -15346
0 14340 2738
222 -1217 -15404
0 0 0
242 -1205 -15445
0 0 14246
103 -1292 -15364
0 0 0
134 -1238 -15434
0 32767 2738
95 -1276 -15508
0 0 0
160 -1333 -15541
0 2738 14247
131 -1287 -15261
0 0 0
183 -1331 -15395
0 14339 498
80 -1356 -15398
0 0 0
219 -1361 -15461
0 0 2738
139 -1264 -15400
0 0 0
114 -1233 -15510
0 14306 14340
55 -1325 -15365
0 0 0
106 -1223 -15440
0 0 0
238 -1263 -15389
0 0 0
150 -1269 -15346
0 0 14369
142 -1237 -15478
0 0 0
166 -1253 -15400
0 0 14373
224 -1256 -15380
0 0 0
115 -1235 -15322
0 0 14339
171 -1304 -15373
0 0 0
123 -1285 -15349
0 2738 14247
115 -1260 -15260
0 0 0
163 -1241 -15427
0 14077 14339
110 -1257 -15492
0 0 0
123 -1220 -15391
0 2738 0
197 -1236 -15465
0 0 0
134 -1244 -15476
0 14369 0
130 -1376 -15334
0 0 0
178 -1232 -15261
0 2738 0
160 -1209 -15332
0 0 0
198 -1332 -15384
0 14110 2738
177 -1340 -15425
0 0 0
248 -1278 -15484
0 14373 2738
156 -1272 -15542
0 0 0
127 -1241 -15553
0 3 14369
244 -1276 -15446
0 0 0
179 -1273 -15448
0 33 0
35 -1295 -15330
0 0 0
138 -1269 -15476
0 14077 14373
166 -1334 -15402
0 0 0
160 -1245 -15420
0 0 14373
154 -1225 -15344
0 0 0
114 -1203 -15221
0 2738 14340
164 -1248 -15377
0 0 0
171 -1299 -15488
0 0 0
184 -1223 -15409
0 0 0
113 -1269 -15414
0 100 14369
174 -1287 -15284
0 0 0
152 -1241 -15308
0 0 0
155 -1256 -15460
0 0 0
72 -1217 -15357
0 0 0
31 -1265 -15371
0 0 0
138 -1235 -15407
0 0 0
166 -1287 -15464
0 0 -2
119 -1265 -15318
0 0 14373
129 -1233 -15498
0 0 0
242 -1235 -15317
0 2 0
129 -1307 -15475
0 0 0
127 -1233 -15464
0 0 14373
236 -1318 -15409
0 0 0
80 -1299 -15402
0 0 64
67 -1247 -15413
0 0 0
122 -1176 -15420
0 21822 -6912
252 -1305 -15459
0 0 -2
66 -1301 -15413
0 13724 0
142 -1285 -15336
0 0 0
129 -1274 -15113
0 21741 14373
65 -1342 -15358
0 0 0
83 -1345 -15466
0 0 2738
135 -1316 -15481
0 0 0
102 -1293 -15388
0 21779 14340
215 -1284 -15437
0 0 0
194 -1301 -15456
0 14822 31894
114 -1285 -15364
0 0 0
174 -1295 -15494
0 14340 -20177
147 -1276 -15405
0 0 0
199 -1289 -15441
0 0 0
135 -1313 -15318
0 0 0
177 -1308 -15097
0 14043 0
122 -1344 -15407
0 0 0
107 -1261 -15437
0 0 14369
154 -1260 -15589
0 0 0
232 -1244 -15540
0 14340 14340
290 -1277 -15486
0 0 0
144 -1288 -15382
0 14369 2738
167 -1251 -15377
0 0 0
222 -1219 -15517
0 0 2738
99 -1223 -15197
0 0 0
134 -1274 -15364
0 14373 14246
170 -1369 -15382
0 0 0
216 -1299 -15142
0 0 2738
199 -1193 -15416
0 0 0
114 -1354 -15253
0 0 14246
67 -1267 -15391
0 0 0
115 -1293 -15564
0 14340 708
234 -1261 -15407
0 0 0
239 -1247 -15422
0 0 2738
223 -1301 -15396
0 0 0
80 -1289 -15387
0 2738 0
214 -1238 -15314
0 0 0
95 -1260 -15537
0 0 0
154 -1305 -15274
0 0 0
140 -1244 -15442
0 14306 14369
103 -1241 -15400
0 0 0
162 -1289 -15313
0 0 14373
160 -1305 -15373
0 0 0
126 -1209 -15364
0 0 14043
266 -1267 -15478
0 0 0
101 -1305 -15449
0 2738 14247
147 -1219 -15325
0 0 0
87 -1176 -15332
0 14371 14043
158 -1252 -15417
0 0 0
219 -1291 -15420
0 0 0
113 -1174 -15535
0 0 0
131 -1248 -15363
0 0 0
62 -1194 -15478
0 0 0
147 -1336 -15473
0 0 2738
173 -1270 -15302
0 0 0
190 -1264 -15289
0 14369 2738
129 -1243 -15504
0 0 0
149 -1317 -15359
0 0 2738
50 -1315 -15471
0 0 0
170 -1404 -15505
0 14369 14369
231 -1316 -15377
0 0 0
107 -1274 -15392
0 2738 0
123 -1305 -15354
0 0 0
83 -1285 -15397
0 0 14340
167 -1300 -15300
0 0 0
173 -1276 -15342
0 17996 14369
114 -1233 -15375
0 1 0
140 -1296 -15421
0 0 25954
213 -1342 -15324
0 0 0
123 -1331 -15411
0 62 0
149 -1278 -15400
0 0 0
136 -1321 -15478
0 0 0
142 -1301 -15468
0 0 0
155 -1274 -15424
0 0 14373
85 -1264 -15221
0 0 0
150 -1334 -15373
0 1 14340
115 -1263 -15436
0 0 0
199 -1227 -15496
0 0 0
115 -1287 -15345
0 56 0
224 -1301 -15473
0 64 2738
122 -1316 -15562
0 34 0
220 -1260 -15412
0 0 2741
174 -1261 -15401
0 0 0
129 -1215 -15412
0 0 2738
127 -1273 -15500
0 0 0
134 -1299 -15228
0 0 2741
259 -1252 -15113
0 0 0
199 -1213 -15422
0 0 2738
206 -1223 -15501
0 0 0
162 -1232 -15314
0 0 0
115 -1268 -15402
0 0 0
174 -1284 -15505
0 0 14340
164 -1299 -15472
0 0 0
250 -1265 -15504
0 0 0
162 -1219 -15436
0 0 0
114 -1331 -15436
0 0 -2499
69 -1268 -15462
0 0 0
120 -1301 -15444
0 1 0
198 -1236 -15047
0 0 0
159 -1258 -15442
0 1 0
107 -1265 -15482
0 0 0
146 -1281 -15524
0 1 14369
191 -1252 -15505
0 0 0
193 -1236 -15400
0 0 14340
204 -1293 -15369
0 0 0
127 -1300 -15425
0 0 0
218 -1261 -15488
0 0 0
164 -1216 -15397
0 0 2738
146 -1300 -15478
