Raw MAF FIR
-0.963617 -0.965813 -0.963739
-0.970022 -0.967460 -0.964593
-0.966118 -0.966484 -0.965752
-0.966362 -0.966423 -0.966362
-0.964044 -0.965996 -0.966484
-0.965752 -0.966423 -0.966484
-0.965081 -0.965447 -0.966484
-0.959713 -0.964166 -0.966179
-0.967460 -0.964410 -0.965630
-0.961177 -0.963800 -0.964959
-0.966484 -0.963983 -0.964410
-0.965752 -0.964105 -0.963983
-0.958432 -0.963861 -0.963800
-0.962458 -0.962824 -0.963983
-0.971425 -0.964898 -0.964044
-0.958615 -0.963312 -0.963800
-0.964532 -0.963068 -0.963495
-0.970266 -0.965447 -0.963556
-0.959469 -0.964837 -0.963861
-0.965081 -0.963556 -0.964288
-0.969229 -0.965691 -0.964593
-0.964532 -0.965691 -0.964654
-0.965996 -0.964837 -0.964776
-0.969046 -0.966728 -0.965081
-0.964166 -0.966545 -0.965508
-0.963495 -0.965447 -0.965996
-0.970632 -0.966667 -0.966301
-0.966606 -0.966789 -0.966240
-0.965874 -0.966118 -0.966118
-0.965874 -0.966484 -0.966240
-0.969961 -0.967765 -0.966484
-0.966850 -0.967033 -0.966789
-0.951112 -0.963922 -0.966911
-0.958615 -0.962458 -0.966728
-0.968253 -0.962946 -0.965935
-0.964593 -0.961848 -0.964105
-0.964349 -0.961360 -0.962153
-0.970510 -0.965264 -0.961299
-0.962885 -0.966118 -0.962092
-0.969961 -0.966423 -0.963861
-0.962214 -0.965935 -0.965386
-0.964532 -0.965996 -0.966118
-0.965081 -0.964898 -0.966301
-0.972706 -0.966850 -0.966057
-0.962702 -0.965447 -0.965569
-0.965874 -0.966179 -0.965508
-0.965996 -0.966423 -0.965874
-0.967704 -0.966972 -0.966362
-0.967826 -0.965996 -0.966484
-0.962153 -0.965874 -0.966301
-0.959225 -0.964532 -0.966179
-0.961909 -0.963739 -0.966118
-0.949770 -0.960140 -0.965508
-0.960994 -0.958798 -0.964044
-0.967094 -0.959774 -0.961909
-0.961116 -0.960140 -0.959835
-0.961238 -0.960018 -0.958859
-0.963495 -0.962763 -0.959347
-0.965081 -0.963556 -0.960689
-0.966850 -0.963556 -0.961970
-0.969473 -0.965203 -0.962702
-0.960445 -0.965020 -0.963312
-0.966911 -0.965752 -0.964288
-0.963129 -0.965325 -0.965264
-0.963556 -0.964654 -0.965691
-0.970510 -0.964898 -0.965386
-0.966118 -0.965996 -0.964898
-0.963007 -0.965264 -0.964776
-0.964105 -0.965447 -0.965203
-0.967216 -0.966179 -0.965752
-0.957639 -0.963617 -0.965813
-0.964654 -0.963312 -0.965447
-0.955138 -0.961726 -0.964654
-0.958432 -0.960567 -0.963678
-0.963251 -0.959774 -0.962580
-0.967216 -0.964959 -0.963495
