ZAccle
Raw MAF FIR
-0.790804 -0.637694 -0.665937
-0.806481 -0.676490 -0.631533
-1.020774 -0.766465 -0.625189
-0.970266 -0.849059 -0.657153
-1.209874 -0.959591 -0.724009
-1.497184 -1.100867 -0.811178
-1.357555 -1.211094 -0.909693
-1.191513 -1.245254 -1.021445
-1.143506 -1.279902 -1.140700
-1.344440 -1.306803 -1.239581
-1.364692 -1.280329 -1.287344
-1.193709 -1.247572 -1.285636
-1.043283 -1.217926 -1.267763
-0.886513 -1.166503 -1.260016
-0.783545 -1.054324 -1.248731
-0.615368 -0.904447 -1.200419
-0.444080 -0.754509 -1.103124
-0.439871 -0.633851 -0.973255
-0.437004 -0.543937 -0.833321
-0.548329 -0.496906 -0.699426
-0.627385 -0.499285 -0.587369
-0.825574 -0.575596 -0.516060
-0.982344 -0.684115 -0.499468
-1.190049 -0.834724 -0.540033
-1.265628 -0.978196 -0.629947
-1.301069 -1.112884 -0.757254
-1.279841 -1.203774 -0.904569
-1.208044 -1.248914 -1.047553
-1.195844 -1.250073 -1.161013
-1.295152 -1.255990 -1.228601
-1.240496 -1.243851 -1.251842
-1.383968 -1.264652 -1.249524
-1.109468 -1.244949 -1.244522
-0.939217 -1.193648 -1.249097
-0.841922 -1.103002 -1.252696
-0.661606 -0.987224 -1.228113
-0.698267 -0.850096 -1.155950
-0.726998 -0.773602 -1.041697
-0.548695 -0.695461 -0.914451
-0.457622 -0.618601 -0.806420
-0.334890 -0.553270 -0.728462
-0.690703 -0.551745 -0.665815
-0.625982 -0.531554 -0.602436
-1.228174 -1.277950 -1.255197
-1.419836 -1.298141 -1.298812
-1.255685 -1.291065 -1.300398
-1.084763 -1.218475 -1.284416
-0.947696 -1.187182 -1.272033
-0.816241 -1.104832 -1.259284
-0.666608 -0.954162 -1.222745
-0.565653 -0.816180 -1.142225
-0.427000 -0.684603 -1.021506
-0.294752 -0.554002 -0.884988
-0.465003 -0.483791 -0.750666
-0.767746 -0.503982 -0.625921
-0.805932 -0.552050 -0.526918
-0.906582 -0.648003 -0.482876
-0.908961 -0.770796 -0.513498
-1.120509 -0.901946 -0.607255
-1.305827 -1.009550 -0.726144
-1.522560 -1.152839 -0.839482
-1.360605 -1.243668 -0.947818
-1.104100 -1.282708 -1.067866
-1.210850 -1.300764 -1.192306
-1.235494 -1.286673 -1.282281
-1.181021 -1.218414 -1.307657
-1.026569 -1.151558 -1.278621
-0.830576 -1.096902 -1.232322
-0.896761 -1.034072 -1.189805
-0.681065 -0.923174 -1.139724
-0.598166 -0.806603 -1.064999
-0.515389 -0.704367 -0.968253
-0.353312 -0.608902 -0.864248
-0.397537 -0.509045 -0.760853
-0.580232 -0.488915 -0.658251
-0.888709 -0.546987 -0.563823
-1.097085 -0.663375 -0.502640
-1.178520 -0.828380 -0.507703
-1.383297 -1.025532 -0.595848
-1.232749 -1.156072 -0.751642
-1.224026 -1.223111 -0.932507
-1.391593 -1.282037 -1.090558
-1.139663 -1.274229 -1.196698
-1.434415 -1.284477 -1.251598
-1.358653 -1.309670 -1.271850
-1.198162 -1.304485 -1.280207
-0.930372 -1.212253 -1.291126
-0.852841 -1.154852 -1.297226
-0.629093 -0.993812 -1.271606
-0.406748 -0.803431 -1.193526
-0.518805 -0.667523 -1.062620
-0.465064 -0.574498 -0.900177
-0.552355 -0.514413 -0.741272
-0.637938 -0.516182 -0.614758
-0.719007 -0.578585 -0.539484
